fiscal_year,age_group,category,gender,value
2022-23,More than 35 years,Number of members that ceased subscribing during the year,Transgender,38
2022-23,Total,Number of members that ceased subscribing during the year,Male,10543780
2022-23,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,2
2022-23,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,0
2022-23,Less than 18 years,Number of members that ceased subscribing during the year,Male,12574
2022-23,18 to 21 years,Number of members that ceased subscribing during the year,Male,1173314
2022-23,22 to 25 years,Number of members that ceased subscribing during the year,Male,2393856
2022-23,26 to 28 years,Number of members that ceased subscribing during the year,Male,1733099
2022-23,29 to 35 years,Number of members that ceased subscribing during the year,Male,2702310
2022-23,More than 35 years,Number of members that ceased subscribing during the year,Male,2528627
2022-23,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0
2022-23,Total,Number of New EPF Subscribers during the year,Male,8506080
2022-23,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,5
2022-23,22 to 25 years,Number of New EPF Subscribers during the year,Total,3030667
2022-23,26 to 28 years,Number of New EPF Subscribers during the year,Total,1235912
2022-23,29 to 35 years,Number of New EPF Subscribers during the year,Total,1799356
2022-23,More than 35 years,Number of New EPF Subscribers during the year,Total,1965163
2022-23,Total,Number of New EPF Subscribers during the year,Total,11498453
2022-23,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,12
2022-23,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,5
2022-23,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,30
2022-23,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,34
2022-23,Total,Number of exited members who rejoined and resubscribed,Female,2699496
2022-23,18 to 21 years,Number of New EPF Subscribers during the year,Total,3378853
2022-23,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,39
2022-23,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,49
2022-23,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,38
2022-23,Total,Number of exited members who rejoined and resubscribed,Transgender,174
2022-23,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,205641
2022-23,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,644538
2022-23,Less than 18 years,Number of exited members who rejoined and resubscribed,Female,3221
2022-23,18 to 21 years,Number of exited members who rejoined and resubscribed,Female,205641
2022-23,22 to 25 years,Number of exited members who rejoined and resubscribed,Female,644538
2022-23,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,463832
2022-23,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,704291
2022-23,More than 35 years,Number of exited members who rejoined and resubscribed,Female,677973
2022-23,26 to 28 years,Number of exited members who rejoined and resubscribed,Female,463832
2022-23,29 to 35 years,Number of exited members who rejoined and resubscribed,Female,704291
2022-23,More than 35 years,Number of exited members who rejoined and resubscribed,Female,677973
2022-23,Total,Number of exited members who rejoined and resubscribed,Female,2699496
2022-23,Less than 18 years,Number of New EPF Subscribers during the year,Total,88502
2022-23,22 to 25 years,Number of exited members who rejoined and resubscribed,Not Available,0
2022-23,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,38
2022-23,Less than 18 years,Number of exited members who rejoined and resubscribed,Not Available,0
2022-23,29 to 35 years,Number of members that ceased subscribing during the year,Male,2702310
2022-23,Total,Number of members that ceased subscribing during the year,Male,10543780
2022-23,18 to 21 years,Number of exited members who rejoined and resubscribed,Total,1297462
2022-23,Less than 18 years,Number of exited members who rejoined and resubscribed,Total,8165
2022-23,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,4944
2022-23,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,1091821
2022-23,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,3055018
2022-23,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,2354736
2022-23,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,3546281
2022-23,More than 35 years,Number of exited members who rejoined and resubscribed,Male,2968022
2022-23,Total,Number of exited members who rejoined and resubscribed,Male,13020822
2022-23,Total,Number of New EPF Subscribers during the year,Not Available,71
2022-23,More than 35 years,Number of New EPF Subscribers during the year,Not Available,37
2022-23,Less than 18 years,Number of New EPF Subscribers during the year,Female,18988
2022-23,18 to 21 years,Number of New EPF Subscribers during the year,Female,715017
2022-23,22 to 25 years,Number of New EPF Subscribers during the year,Female,837331
2022-23,26 to 28 years,Number of New EPF Subscribers during the year,Female,317361
2022-23,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,12
2022-23,More than 35 years,Number of members that ceased subscribing during the year,Male,2528627
2022-23,26 to 28 years,Number of members that ceased subscribing during the year,Male,1733099
2022-23,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,18
2022-23,22 to 25 years,Number of members that ceased subscribing during the year,Male,2393856
2022-23,More than 35 years,Number of New EPF Subscribers during the year,Male,1407985
2022-23,Total,Number of New EPF Subscribers during the year,Male,8506080
2022-23,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,34
2022-23,Total,Number of exited members who rejoined and resubscribed,Total,15720499
2022-23,More than 35 years,Number of exited members who rejoined and resubscribed,Total,3646039
2022-23,29 to 35 years,Number of exited members who rejoined and resubscribed,Total,4250622
2022-23,26 to 28 years,Number of exited members who rejoined and resubscribed,Total,2818617
2022-23,22 to 25 years,Number of exited members who rejoined and resubscribed,Total,3699594
2022-23,Total,Number of members that ceased subscribing during the year,Not Available,1369
2022-23,More than 35 years,Number of members that ceased subscribing during the year,Not Available,808
2022-23,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,408
2022-23,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,110
2022-23,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,35
2022-23,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,3
2022-23,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,5
2022-23,Less than 18 years,Number of members that ceased subscribing during the year,Male,12574
2022-23,18 to 21 years,Number of members that ceased subscribing during the year,Male,1173314
2022-23,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,5
2022-23,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,12
2022-23,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,5
2022-23,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0
2022-23,29 to 35 years,Number of New EPF Subscribers during the year,Total,1799356
2022-23,26 to 28 years,Number of New EPF Subscribers during the year,Total,1235912
2022-23,22 to 25 years,Number of New EPF Subscribers during the year,Total,3030667
2022-23,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,2
2022-23,Less than 18 years,Number of members that ceased subscribing during the year,Female,6518
2022-23,18 to 21 years,Number of members that ceased subscribing during the year,Female,277069
2022-23,22 to 25 years,Number of members that ceased subscribing during the year,Female,711492
2022-23,26 to 28 years,Number of members that ceased subscribing during the year,Female,459130
2022-23,29 to 35 years,Number of members that ceased subscribing during the year,Female,675527
2022-23,More than 35 years,Number of members that ceased subscribing during the year,Female,692235
2022-23,Total,Number of members that ceased subscribing during the year,Female,2821971
2022-23,Total,Number of members that ceased subscribing during the year,Total,13367263
2022-23,More than 35 years,Number of members that ceased subscribing during the year,Total,3221708
2022-23,29 to 35 years,Number of members that ceased subscribing during the year,Total,3378284
2022-23,26 to 28 years,Number of members that ceased subscribing during the year,Total,2192373
2022-23,22 to 25 years,Number of members that ceased subscribing during the year,Total,3105413
2022-23,Total,Number of exited members who rejoined and resubscribed,Female,2699496
2022-23,More than 35 years,Number of New EPF Subscribers during the year,Total,1965163
2022-23,Total,Number of New EPF Subscribers during the year,Total,11498453
