fiscal_year,state,age_group,category,gender,value,unit,note
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Not Available,6,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Total,11498453,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Female,2992163,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Transgender,139,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Not Available,35,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Female,715017,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Female,837331,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Female,317361,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Male,4944,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Male,1091821,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Male,3055018,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Not Available,5,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Not Available,3,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Not Available,110,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Male,13020822,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Not Available,408,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Not Available,808,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Not Available,1369,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Female,546366,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Female,557100,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Male,2354736,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Male,3546281,value in Absolute Number,
2022-23,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Male,2968022,value in Absolute Number,
2022-23,All India,Total,Number of exited members who rejoined and resubscribed,Not Available,7,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Transgender,139,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Male,2528627,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Not Available,5,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Male,12574,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Male,1173314,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Male,2393856,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Total,19097,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Total,1450388,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Male,1733099,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Male,2702310,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Male,10543780,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,1,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Not Available,12,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Not Available,5,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Not Available,12,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Not Available,37,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Not Available,71,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Total,3105413,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Total,2192373,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Total,3378284,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Not Available,0,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,18,value in Absolute Number,
2022-23,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,41,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of members that ceased subscribing during the year,Female,711492,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,31,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,22,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,26,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Male,69513,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Male,2663813,value in Absolute Number,
2022-23,All India,22 to 25 years,Number of New EPF Subscribers during the year,Male,2193298,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of members that ceased subscribing during the year,Female,6518,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of members that ceased subscribing during the year,Female,277069,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of members that ceased subscribing during the year,Female,459130,value in Absolute Number,
2022-23,All India,Total,Number of New EPF Subscribers during the year,Male,8506080,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of members that ceased subscribing during the year,Female,675527,value in Absolute Number,
2022-23,All India,More than 35 years,Number of members that ceased subscribing during the year,Female,692235,value in Absolute Number,
2022-23,All India,26 to 28 years,Number of New EPF Subscribers during the year,Male,918524,value in Absolute Number,
2022-23,All India,29 to 35 years,Number of New EPF Subscribers during the year,Male,1252947,value in Absolute Number,
2022-23,All India,Total,Number of members that ceased subscribing during the year,Female,2821971,value in Absolute Number,
2022-23,All India,18 to 21 years,Number of New EPF Subscribers during the year,Total,3378853,value in Absolute Number,
2022-23,All India,Less than 18 years,Number of New EPF Subscribers during the year,Total,88502,value in Absolute Number,
